"ARL0_target","delta","m","Sensitivity_Bonf","Sensitivity_Holm","Sensitivity_BH","Sensitivity_raw","Specificity_Bonf","Specificity_Holm","Specificity_BH","Specificity_raw","FDR_Bonf","FDR_Holm","FDR_BH","FDR_raw","FWER_bonf","FWER_holm","FWER_bh","FWER_raw"
500,0.15,0,0,0,0,0,0.994832041343669,0.994702842377261,0.993992248062015,0.958656330749354,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349
500,0.15,1,0.481740870435218,0.48224112056028,0.48624312156078,0.625812906453227,0.99666499916625,0.996442665777333,0.994830748707687,0.959924406647768,0.0237618809404702,0.024512256128064,0.0301817575454394,0.19739036184759,0.0300150075037519,0.032016008004002,0.0445222611305653,0.304152076038019
500,0.15,2,0.3125,0.315,0.342,0.5305,0.99825,0.9981875,0.9960625,0.9671875,0.0114166666666667,0.0115833333333333,0.0173333333333333,0.138375,0.014,0.0145,0.0305,0.237
500,0.2,0,0,0,0,0,0.995895765472313,0.995895765472313,0.99557003257329,0.958110749185668,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342
500,0.2,1,0.553,0.553,0.5585,0.686,0.996722222222222,0.996611111111111,0.994277777777778,0.960222222222222,0.0195,0.02,0.02925,0.186958333333333,0.029,0.03,0.049,0.3055
500,0.2,2,0.349,0.352,0.385,0.5665,0.9985625,0.9985,0.9964375,0.9725,0.00825,0.0085,0.0146666666666667,0.103458333333333,0.0115,0.012,0.0275,0.201
500,0.3,0,0,0,0,0,0.995259165613148,0.995259165613148,0.994753476611884,0.957079646017699,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818
500,0.3,1,0.637,0.637,0.641,0.7455,0.997444444444444,0.997333333333333,0.994833333333333,0.965388888888889,0.014,0.0145,0.0250833333333333,0.156041666666667,0.023,0.024,0.046,0.2745
500,0.3,2,0.40975,0.41225,0.45475,0.61975,0.9986875,0.9984375,0.996375,0.9765,0.00625,0.00716666666666667,0.013,0.083,0.0105,0.0125,0.0275,0.172
500,0.4,0,0,0,0,0,0.995602931379081,0.995602931379081,0.994936708860759,0.959427048634244,0.0419720186542305,0.0419720186542305,0.044636908727515,0.295136575616256,0.0419720186542305,0.0419720186542305,0.044636908727515,0.295136575616256
500,0.4,1,0.6885,0.6885,0.693,0.77,0.997611111111111,0.997444444444444,0.995333333333333,0.970333333333333,0.012,0.01275,0.0220833333333333,0.130333333333333,0.0215,0.023,0.0405,0.2345
500,0.4,2,0.44325,0.44525,0.4835,0.63125,0.9986875,0.9985625,0.996625,0.9821875,0.00591666666666667,0.00616666666666667,0.0110833333333333,0.0545,0.0105,0.0115,0.0255,0.133
