"Distribution","lambda","L","Group","ARL0_target","combo_label","delta","m","n_signals","FP_bonf","TN_bonf","FP_holm","TN_holm","FP_BH","TN_BH","FP_raw","TN_raw","Sensitivity_Bonf","Specificity_Bonf","FDR_Bonf","Sensitivity_Holm","Specificity_Holm","FDR_Holm","Sensitivity_BH","Specificity_BH","FDR_BH","Sensitivity_raw","Specificity_raw","FDR_raw","FWER_bonf","FWER_holm","FWER_bh","FWER_raw"
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.1,2,2000,0.024,7.976,0.0245,7.9755,0.0375,7.9625,0.3085,7.6915,0.246,0.997,0.0203333333333333,0.24875,0.9969375,0.0205833333333333,0.2725,0.9953125,0.0253333333333333,0.46175,0.9614375,0.169791666666667,0.024,0.0245,0.036,0.2685
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,0,1548,0.0516795865633075,9.94832041343669,0.0529715762273902,9.94702842377261,0.060077519379845,9.93992248062015,0.41343669250646,9.58656330749354,0,0.994832041343669,0.0503875968992248,0,0.994702842377261,0.0503875968992248,0,0.993992248062015,0.0516795865633075,0,0.958656330749354,0.302325581395349,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,1,1999,0.0300150075037519,8.96998499249625,0.032016008004002,8.967983991996,0.0465232616308154,8.95347673836918,0.360680340170085,8.63931965982992,0.481740870435218,0.99666499916625,0.0237618809404702,0.48224112056028,0.996442665777333,0.024512256128064,0.48624312156078,0.994830748707687,0.0301817575454394,0.625812906453227,0.959924406647768,0.19739036184759,0.0300150075037519,0.032016008004002,0.0445222611305653,0.304152076038019
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,2,2000,0.014,7.986,0.0145,7.9855,0.0315,7.9685,0.2625,7.7375,0.3125,0.99825,0.0114166666666667,0.315,0.9981875,0.0115833333333333,0.342,0.9960625,0.0173333333333333,0.5305,0.9671875,0.138375,0.014,0.0145,0.0305,0.237
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,0,1535,0.041042345276873,9.95895765472313,0.041042345276873,9.95895765472313,0.044299674267101,9.9557003257329,0.418892508143322,9.58110749185668,0,0.995895765472313,0.0403908794788274,0,0.995895765472313,0.0403908794788274,0,0.99557003257329,0.041042345276873,0,0.958110749185668,0.304885993485342,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,1,2000,0.0295,8.9705,0.0305,8.9695,0.0515,8.9485,0.358,8.642,0.553,0.996722222222222,0.0195,0.553,0.996611111111111,0.02,0.5585,0.994277777777778,0.02925,0.686,0.960222222222222,0.186958333333333,0.029,0.03,0.049,0.3055
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,2,2000,0.0115,7.9885,0.012,7.988,0.0285,7.9715,0.22,7.78,0.349,0.9985625,0.00825,0.352,0.9985,0.0085,0.385,0.9964375,0.0146666666666667,0.5665,0.9725,0.103458333333333,0.0115,0.012,0.0275,0.201
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,0,1582,0.0474083438685209,9.95259165613148,0.0474083438685209,9.95259165613148,0.0524652338811631,9.94753476611884,0.429203539823009,9.57079646017699,0,0.995259165613148,0.0467762326169406,0,0.995259165613148,0.0467762326169406,0,0.994753476611884,0.0486725663716814,0,0.957079646017699,0.313527180783818,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,1,2000,0.023,8.977,0.024,8.976,0.0465,8.9535,0.3115,8.6885,0.637,0.997444444444444,0.014,0.637,0.997333333333333,0.0145,0.641,0.994833333333333,0.0250833333333333,0.7455,0.965388888888889,0.156041666666667,0.023,0.024,0.046,0.2745
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,2,2000,0.0105,7.9895,0.0125,7.9875,0.029,7.971,0.188,7.812,0.40975,0.9986875,0.00625,0.41225,0.9984375,0.00716666666666667,0.45475,0.996375,0.013,0.61975,0.9765,0.083,0.0105,0.0125,0.0275,0.172
